,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,DT
169,10626.24,4582.66,-14150.25,-20219.14,-7588.054,3776.48,129.19,12844.76,0.6901259999999995
170,11050.48,5109.548,-12901.08,-18862.19,-6362.506,4173.481,585.339,13202.55,0.6901309999999994
171,11438.89,5554.241,-11677.24,-17554.95,-5176.7,4586.15,1054.879,13537.2,0.7034399999999994
172,11753.39,5943.738,-10402.03,-16201.45,-4082.93,5000.552,1616.133,13792.83,0.7034449999999993
173,12055.3,6369.607,-9159.759,-14857.15,-3027.663,5369.588,2142.11,14024.63,0.7065069999999993
174,12388.85,6817.546,-8033.242,-13619.48,-1954.057,5701.171,2542.173,14293.09,0.7065119999999994
175,12702.54,7199.045,-6952.554,-12448.14,-904.426,6043.603,2927.261,14554.81,0.7065139999999993
176,12950.21,7518.63,-5829.872,-11245.64,63.594,6397.255,3399.563,14749.63,0.7103899999999993
177,13175.74,7861.846,-4719.525,-10037.0,982.852,6714.448,3867.053,14912.07,0.7219789999999994
178,13428.77,8234.991,-3710.476,-8916.436,1911.768,6986.442,4221.047,15102.84,0.7260129999999994
179,13676.14,8559.226,-2762.138,-7871.889,2828.171,7258.713,4535.69,15298.44,0.7260179999999994
180,13868.74,8820.971,-1785.045,-6812.967,3676.386,7548.441,4924.316,15441.16,0.7424379999999993
181,14031.62,9094.277,-804.691,-5738.349,4471.157,7816.502,5332.385,15546.55,0.7424439999999993
182,14212.94,9400.926,93.378,-4730.851,5266.775,8041.438,5646.651,15669.92,0.7490819999999994
183,14395.25,9673.519,922.802,-3801.591,6057.353,8256.781,5903.809,15803.62,0.7490869999999993
184,14532.49,9882.839,1764.733,-2875.454,6792.625,8486.982,6214.278,15895.64,0.7490889999999992
185,14635.81,10087.55,2616.94,-1932.622,7471.937,8703.368,6557.883,15946.89,0.7519779999999993
186,14749.77,10322.54,3404.968,-1039.17,8141.731,8879.151,6829.841,16006.31,0.7543919999999993
187,14871.46,10539.22,4122.584,-220.703,8809.522,9038.817,7036.483,16080.8,0.7569729999999992
188,14961.79,10700.98,4838.603,581.177,9435.586,9211.911,7276.344,16128.3,0.7629679999999993
189,15019.43,10848.87,5568.888,1398.662,10009.83,9379.359,7556.171,16137.83,0.7701459999999993
190,15080.2,11021.79,6254.048,2184.069,10568.2,9511.322,7786.975,16146.52,0.7701519999999993
191,15150.35,11187.37,6872.675,2902.584,11124.75,9623.151,7952.848,16169.78,0.7829729999999993
192,15197.85,11305.79,7475.795,3592.641,11648.94,9745.601,8133.473,16176.13,0.7904989999999992
193,15212.62,11401.73,8089.426,4290.701,12124.79,9869.267,8353.12,16148.24,0.7905049999999992
194,15222.42,11515.39,8671.76,4967.791,12578.54,9965.16,8542.333,16112.64,0.7905069999999992
195,15239.66,11630.13,9195.251,5588.562,13028.78,10038.19,8670.327,16088.05,0.7929639999999991
196,15242.7,11709.83,9695.243,6175.604,13456.01,10116.97,8797.252,16054.41,0.7960049999999992
197,15220.14,11767.55,10202.06,6764.483,13842.96,10202.59,8960.165,15994.3,0.7960069999999991
198,15190.89,11838.15,10688.99,7340.583,14205.47,10269.63,9110.681,15924.07,0.8029719999999991
199,15168.85,11914.07,11126.83,7871.543,14561.54,10313.73,9210.299,15861.57,0.8053849999999992
200,15139.87,11962.48,11536.34,8366.855,14900.49,10356.53,9297.212,15794.82,0.8079629999999992
201,15090.21,11985.43,11946.44,8856.658,15206.18,10403.7,9409.908,15706.58,0.8193929999999991
202,15030.72,12012.58,12343.07,9336.999,15486.26,10436.27,9519.486,15605.6,0.822423999999999
203,14973.95,12046.42,12699.69,9781.736,15756.08,10447.68,9589.145,15509.06,0.822427999999999
204,14912.23,12062.88,13026.13,10191.75,16012.05,10456.25,9641.235,15413.01,0.8243909999999991
205,14834.52,12057.76,13347.3,10590.27,16241.57,10471.3,9711.523,15303.01,0.832971999999999
206,14745.56,12050.14,13658.89,10980.48,16446.87,10476.62,9784.211,15179.67,0.8360049999999991
207,14655.57,12045.7,13940.4,11344.41,16639.96,10461.31,9826.367,15054.88,0.8360109999999991
208,14563.09,12029.96,14193.77,11677.94,16821.57,10439.34,9848.63,14930.85,0.841963999999999
209,14459.9,11996.87,14437.1,11996.12,16982.74,10422.94,9880.656,14798.61,0.845380999999999
210,14346.67,11958.97,14671.63,12304.89,17122.16,10402.29,9916.909,14655.07,0.8550069999999991
211,14231.23,11924.2,14883.25,12593.35,17247.41,10366.4,9932.302,14507.94,0.855012999999999
212,14114.81,11883.64,15069.9,12855.9,17361.5,10322.96,9929.188,14361.88,0.8569599999999991
213,13991.53,11829.46,15243.56,13101.24,17459.95,10282.72,9929.268,14212.19,0.860378999999999
214,13859.53,11767.48,15408.52,13336.11,17540.83,10240.48,9933.747,14054.67,0.875008999999999
215,13722.81,11704.36,15556.96,13555.83,17607.9,10186.44,9925.355,13892.22,0.875013999999999
216,13583.3,11636.18,15684.97,13755.09,17663.67,10123.29,9900.609,13728.28,0.880011999999999
217,13438.92,11557.71,15798.01,13936.39,17706.1,10059.11,9872.551,13560.91,0.880017999999999
218,13288.34,11472.34,15900.2,14104.33,17733.5,9992.336,9845.956,13387.35,0.8819639999999991
