,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,DT
204,15032.75,12320.57,14153.49,11183.93,17447.48,14072.04,9154.404,14619.55,0.8529769999999997
205,14861.36,12251.57,14423.81,11536.71,17619.86,13882.39,9170.307,14465.65,0.8553939999999997
206,14679.26,12180.79,14686.63,11883.45,17769.03,13684.53,9184.182,14302.13,0.8584359999999996
207,14501.7,12107.72,14924.0,12205.93,17907.01,13489.56,9171.058,14139.66,0.8584409999999997
208,14327.07,12024.63,15133.04,12497.22,18034.02,13296.36,9143.148,13977.25,0.8610139999999997
209,14142.95,11931.18,15329.19,12772.34,18141.01,13095.93,9123.348,13806.31,0.8610179999999997
210,13949.29,11834.96,15517.75,13039.82,18227.45,12889.59,9105.251,13628.12,0.8629809999999997
211,13756.05,11738.16,15687.71,13289.44,18301.42,12685.65,9070.967,13451.43,0.8660159999999997
212,13565.33,11636.46,15834.58,13514.14,18365.8,12484.86,9026.491,13278.31,0.8660199999999997
213,13370.94,11529.15,15967.6,13722.06,18415.86,12281.8,8988.931,13102.63,0.8679719999999996
214,13171.98,11420.21,16092.16,13920.57,18449.32,12075.77,8955.406,12921.23,0.8703999999999996
215,12973.62,11310.64,16202.35,14105.12,18469.84,11870.42,8910.766,12737.42,0.8734329999999997
216,12776.73,11197.11,16293.47,14269.73,18479.89,11666.23,8854.7,12553.08,0.8734359999999997
217,12577.05,11078.02,16369.38,14416.92,18477.69,11460.54,8799.027,12366.2,0.8753909999999997
218,12373.25,10955.68,16434.92,14552.04,18461.98,11252.71,8745.801,12176.24,0.8900219999999998
219,12168.65,10831.6,16489.32,14675.33,18434.36,11044.39,8686.504,11985.02,0.8900279999999997
220,11965.53,10704.53,16529.91,14784.02,18396.6,10836.52,8618.843,11794.04,0.8924329999999997
221,11762.73,10574.08,16557.16,14877.76,18349.2,10629.23,8548.869,11603.24,0.8924369999999997
222,11558.6,10441.04,16573.39,14958.71,18292.01,10422.43,8478.756,11411.42,0.8939849999999997
223,11353.46,10305.8,16579.67,15028.68,18224.35,10215.74,8405.372,11218.31,0.8969799999999997
224,11148.16,10168.51,16575.36,15087.58,18146.1,10009.06,8327.307,11024.51,0.9053929999999997
225,10942.71,10029.87,16559.43,15133.94,18059.02,9803.255,8246.142,10830.63,0.9100089999999996
226,10736.88,9890.971,16531.79,15166.93,17964.73,9599.712,8163.07,10636.67,0.9100129999999997
227,10530.02,9751.423,16494.27,15188.44,17861.77,9397.893,8077.882,10441.36,0.9153959999999998
228,10322.37,9610.368,16449.27,15201.6,17748.79,9195.951,7990.986,10244.9,0.9219719999999998
